"TOA5","EBM1","CR3000","8941","CR3000.Std.27","CPU:KC.EBM1_16.02.18.CR3","16128","DAS1"
"TIMESTAMP","RECORD","BARO_P_SUR","HMP_M_RH","HMP_T_AIR","INK_G_INKS","INK_G_INKW","KT_T_SUR","OMB_N_N_001_Tot","OMB_N_N_002_Tot","PYG_R_LWDP","PYG_R_LWUP","PYG_T_BOT","PYG_T_TOP","PYR_R_SWDR","PYR_R_SWUR","SHF_F_SHF_001","SHF_F_SHF_002","SHF_F_SHF_003"
"TS","RN","hPa","%","Deg C","degree","degree","Deg C","mm/s","mm/s","W/m**2","W/m**2","Deg C","Deg C","W/m**2","W/m**2","W/m**2","W/m**2","W/m**2"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2016-02-25 14:49:35",58,1000.797,44.04229,5.894135,0.7445145,0.02091312,3.793543,0,0,-84.38931,-11.25451,6.600698,6.830102,98.40247,18.74963,67.07847,70.07191,63.92053
"2016-02-25 14:49:36",59,1000.817,44.08068,5.979492,0.7873707,0.0167923,3.797724,0,0,-84.09731,-11.67134,6.617632,6.817604,95.63057,18.0552,67.07847,69.96654,63.80956
"2016-02-25 14:49:37",60,1000.802,44.13241,5.832306,0.7593498,0.01514435,3.814442,0,0,-84.09731,-10.83768,6.600698,6.83877,99.09544,17.36077,67.07847,70.01923,63.80956
"2016-02-25 14:49:38",61,1000.812,44.19916,5.830139,0.7873707,0.001957893,3.785183,0,0,-84.09731,-10.83768,6.621865,6.902472,94.93759,18.0552,67.02312,69.96654,63.80956
"2016-02-25 14:49:39",62,1000.812,44.29929,5.896301,0.7708874,0.01267242,3.822805,0,0,-84.38931,-11.67134,6.598481,6.919203,96.32355,17.36077,67.02312,69.96654,63.75407
"2016-02-25 14:49:40",63,1000.777,44.44114,5.872803,0.7511072,0.01102257,3.810265,0,0,-84.09731,-10.42084,6.555947,6.83877,96.32355,17.36077,66.96778,69.96654,63.75407
"2016-02-25 14:49:41",64,1000.802,44.59299,5.898499,0.7684145,0.02256107,3.826986,0,0,-84.38931,-10.00401,6.605134,6.791801,95.63057,18.0552,66.96778,69.96654,63.69859
"2016-02-25 14:49:42",65,1000.797,44.71982,5.832306,0.7626457,0.0134964,3.806086,0,0,-84.68132,-10.83768,6.621865,6.815387,96.32355,17.36077,66.96778,69.86117,63.69859
"2016-02-25 14:49:43",66,1000.797,44.8383,5.827942,0.7898426,0.0184412,3.801901,0,0,-84.09731,-11.25451,6.6263,6.862154,97.01652,17.36077,66.96778,69.86117,63.69859
"2016-02-25 14:49:44",67,1000.787,44.97848,5.874969,0.7436905,-0.01122952,3.814442,0,0,-84.38931,-10.83768,6.621865,6.832118,97.01652,17.36077,66.96778,69.86117,63.69859
"2016-02-25 14:49:45",68,1000.772,45.09196,5.851471,0.7445145,-0.01699829,3.797724,0,0,-84.09731,-10.42084,6.619648,6.836553,96.32355,19.44407,66.85709,69.86117,63.6431
"2016-02-25 14:49:46",69,1000.812,45.0953,5.894135,0.755228,0.0217371,3.789364,0,0,-84.38931,-10.83768,6.598481,6.836553,97.7095,18.0552,66.85709,69.7558,63.58761
"2016-02-25 14:49:47",70,1000.782,44.9184,5.915466,0.7717113,0.02503395,3.776823,0,0,-84.09731,-10.42084,6.605134,6.857719,98.40247,17.36077,66.85709,69.7558,63.58761
"2016-02-25 14:49:48",71,1000.807,44.66141,5.853638,0.7750082,0.0003089905,3.810265,0,0,-84.09731,-11.67134,6.57933,6.857719,97.7095,17.36077,66.80175,69.7558,63.58761
"2016-02-25 14:49:49",72,1000.792,44.47117,5.938995,0.7593498,0.0184412,3.814442,0,0,-84.09731,-10.83768,6.617632,6.815387,99.09544,18.0552,66.7464,69.7558,63.53213
"2016-02-25 14:49:50",73,1000.757,44.23254,5.915466,0.7667665,-0.01947021,3.806086,0,0,-84.09731,-10.83768,6.581548,6.898036,94.24461,18.0552,66.7464,69.7558,63.58761
