"TOA5","EBM1","CR3000","8941","CR3000.Std.27","CPU:KC.EBM1_16.02.18.CR3","16128","DAS3"
"TIMESTAMP","RECORD","SMT_M_SOIL_001","SMT_M_SOIL_002","SMT_M_SOIL_003","SMT_M_SOIL_004","SMT_T_SOIL_001","SMT_T_SOIL_002","SMT_T_SOIL_003","SMT_T_SOIL_004"
"TS","RN","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2016-02-26 10:10:00",84,6.16,7.72,13.92,9.52,"NAN",0.18,0.13,"NAN"
"2016-02-26 10:20:00",85,6.21,7.81,14.69,10.13,"NAN",0.21,0.15,"NAN"
"2016-02-26 10:30:00",86,6.26,7.93,15.31,10.97,"NAN",0.21,0.23,0.03
"2016-02-26 10:40:00",87,6.31,8.11,15.64,12.07,0.05,0.22,0.5,0.05
"2016-02-26 10:50:00",88,6.39,8.38,15.78,13.31,0.01,0.37,0.93,0.11
"2016-02-26 11:00:00",89,6.56,8.74,15.87,14.23,0.05,0.29,1.52,0.12
"2016-02-26 11:10:00",90,6.88,9.15,15.95,14.68,0.03,0.3,2.05,0.19
"2016-02-26 11:20:00",91,7.54,9.6,16.02,14.94,0.05,0.2,2.57,0.48
"2016-02-26 11:30:00",92,8.22,10.05,16.07,15.12,0.05,0.16,2.95,0.76
"2016-02-26 11:40:00",93,8.89,10.51,16.12,15.25,0.1,0.26,3.21,1.15
"2016-02-26 11:50:00",94,9.57,11.02,16.16,15.36,0.11,0.35,3.49,1.86
"2016-02-26 12:00:00",95,10.29,11.54,16.18,15.42,0.12,0.37,3.66,2.38
