"TOA5","EBM1","CR3000","8941","CR3000.Std.27","CPU:KC.EBM1_16.02.18.CR3","16128","DAX"
"TIMESTAMP","RECORD","HMP_D_AIR_Avg","HMP_M_AH_Avg","HMP_M_E_Avg","HMP_M_SH_Avg","HMP_T_VIR_Avg","LICOR_F_CD_Avg","LICOR_F_CWAH_Avg","PYG_R_LWDR_Avg","PYG_R_LWUR_Avg","PYG_R_QSUR_Avg","SHF_F_SHF_000_Avg","SONIC_F_CUW_Avg","SONIC_F_CVW_Avg","SONIC_F_CWT_Avg","SONIC_F_HSUR_Avg","SONIC_F_LSUR_Avg","SONIC_V_VHOR_Avg","SONIC_V_WD_Avg"
"TS","RN","kg/m**3","g/m**3","hPa","g/kg","K","mg/(m**2s)","g/(m**2s)","W/m**2","W/m**2","W/m**2","W/m**2","m**2/s**2","m**2/s**2","K m/s","W/m**2","W/m**2","m/s","degree"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2016-02-26 03:20:00",75,1.294556,3.32924,4.136339,2.571723,269.6803,-0.01563506,2.250673E-005,226.6245,285.762,-61.6385,-89.08521,0.0001579841,0.0008896999,-0.0003968372,-0.515783,0.05626684,0.4523965,139.9421
"2016-02-26 03:30:00",76,1.294942,3.313895,4.116135,2.559106,269.6203,-0.02412595,-0.000394858,226.4464,285.0891,-61.53195,-89.08037,0.001017574,0.0006329531,-0.0003626375,-0.4714731,-0.9871449,0.2185468,151.6953
"2016-02-26 03:40:00",77,1.295158,3.301975,4.100657,2.549477,269.5488,-0.05341828,-0.0001464449,226.3422,285.1603,-61.61725,-89.04627,-0.0005175327,0.0002151961,-0.000227055,-0.2952484,-0.3661122,0.4612897,135.5808
"2016-02-26 09:10:00",78,1.261059,4.004739,5.083591,3.175695,276.0765,-7.226563,0.0690918,239.1912,330.5365,248.9374,-98.19805,233.2637,234.3145,425.8027,539110.3,172.7295,138.0747,194.9973
"2016-02-26 09:20:00",79,1.261529,4.010002,5.0969,3.178684,276.4166,45.73877,-0.8820212,240.5909,336.1492,219.9936,-99.29976,1372.308,1369.718,2441.87,3092812,-2205.053,22.61212,195.2861
"2016-02-26 09:30:00",80,1.259946,3.972774,5.06301,3.153131,276.754,-6.793686,0.1523118,241.873,339.893,184.6461,-98.86378,477.1929,492.0677,910.5079,1151779,380.7795,134.2736,194.9538
"2016-02-26 09:40:00",81,1.257085,3.983131,5.087353,3.168545,277.3855,0,0,243.1498,345.0173,204.7943,-98.40379,0,0,0,0,0,141.4214,195
"2016-02-26 09:50:00",82,1.25549,4.069449,5.204849,3.241324,277.7442,0,0,244.2308,348.395,208.5842,-97.94237,0,0,0,0,0,141.4214,195
"2016-02-26 10:00:00",83,1.252995,4.1541,5.323509,3.315335,278.2978,-3.520005,-0.04965999,246.4222,354.4177,238.95,-97.47565,39.80739,40.54027,79.1049,99514.54,-124.15,140.8557,194.9979
"2016-02-26 10:10:00",84,1.250895,3.822625,4.907637,3.055913,278.645,-8.978199,1.20336,248.4361,357.9706,257.5051,-97.01112,1570.21,1552.515,2768.055,3476395,3008.4,114.206,195.0738
